"","nicu","name","full_address","addr","city","state","zip","level","beds","type","contact"
"25",25,"Aiken Regional Medical Center","302 University Parkway Aiken SC 29801","302 University Parkway","Aiken","SC","29801","II",NA,"Academic Program",NA
"26",26,"Akron Children’s Hospital","214 W Bowery St Akron OH 44308","214 W Bowery St","Akron","OH","44308","III",59,"Private Practice","Jennifer Grow, MD"
"27",27,"Akron General","1 Akron General Ave Akron OH 44307","1 Akron General Ave","Akron","OH","44307","III",15,"Private Practice","Jennifer Grow, MD"
"28",28,"Alaska Native Medical Center","4315 Diplomacy Drive Anchorage AK 99508","4315 Diplomacy Drive","Anchorage","AK","99508","II",12,NA,"Eric Noble, MD"
"29",29,"Alaska Regional Hospital","2801 Debarr Road Anchorage AK 99508","2801 Debarr Road","Anchorage","AK","99508","II",10,"Private Practice","Evelyn Rider, MD"
"30",30,"Albany Medical Center","43 New Scotland Ave Albany NY 12208","43 New Scotland Ave","Albany","NY","12208","IV",60,"Academic Program","Michael Horgan, MD"
"31",31,"Alexian Brothers Medical Center","800 Biesterfield Rd Elk Grove Village IL 60007","800 Biesterfield Rd","Elk Grove Village","IL","60007","II",10,"Academic Program","Mary S. Tillema, MD"
"32",32,"Allen Memorial Hospital","1825 Logan Ave Waterloo IA 50703","1825 Logan Ave","Waterloo","IA","50703","II",10,"Employed Group","Pankaj Nagaraj, MD"
"33",33,"Almanance Regional Medical Center","1240 Huffman Mill Road Burlington NC 27215","1240 Huffman Mill Road","Burlington","NC","27215","III",12,"Private Practice","John Wimmer, MD"
"34",34,"Alta Bates Summit Medical Center","350 Hawthorne Ave Oakland CA 94609","350 Hawthorne Ave","Oakland","CA","94609","III",55,"Private Practice","Alex Espinoza, MD"
"35",35,"Alta View Hospital","9660 South 1300 East Sandy UT 84094","9660 South 1300 East","Sandy","UT","84094","II",5,NA,NA
"36",36,"Alton Memorial Hospial","1 Memorial Dr Alton IL 62002","1 Memorial Dr","Alton","IL","62002","II",NA,NA,NA
"37",37,"Altru Hospital","1200 S Columbia Rd Grand Forks ND 58201","1200 S Columbia Rd","Grand Forks","ND","58201","III",16,"Hospital Employed","Panda Durga, MD"
"38",38,"American Family Children’s","1675 Highland Ave Madison WI 53792","1675 Highland Ave","Madison","WI","53792","IV",26,"Academic Program","Nina Menda, MD"
"39",39,"American Fork Hospital","170 North 1100 East American Fork UT 84003","170 North 1100 East","American Fork","UT","84003","II",4,"Employed Group","Shaun Odell, MD"
"40",40,"Amita Adventist Health Medical Center Bolingbrook","500 Remington Blvd Bolingbrook IL 60440","500 Remington Blvd","Bolingbrook","IL","60440","II",NA,"Private Practice","Anthony Bell, MD"
"41",41,"AMITA Adventist Medical Center LaGrange","5101 Willow Springs Rd La Grange IL 60525","5101 Willow Springs Rd","La Grange","IL","60525","II",NA,"Private Practice",NA
"42",42,"AMITA Health Glen Oaks","701 Winthrop Ave Glendale Heights IL 60139","701 Winthrop Ave","Glendale Heights","IL","60139","II",NA,"Network Medical Group","Ramakrishna Velamati, MD"
"43",43,"AMITA Health Mercy Medical Center","1325 N Highland Ave Aurora IL 60506","1325 N Highland Ave","Aurora","IL","60506","II",NA,NA,NA
"44",44,"AMITA Health Resurrection Medical Center","7435 W Talcott Ave Chicago IL 60631","7435 W Talcott Ave","Chicago","IL","60631","II",NA,"Network Medical Group","Ramakrishna Velamati, MD"
"45",45,"AMITA Health Saint Joseph Hospital","2900 N Lake Shore Dr. Chicago IL 60657","2900 N Lake Shore Dr.","Chicago","IL","60657","III",20,"Network Medical Group","Ramakrishna Velamati, MD"
"46",46,"AMITA Health Saints Mary and Elizabeth Medical Center","1431 N Claremont Ave Chicago IL 60622","1431 N Claremont Ave","Chicago","IL","60622","II",NA,"Network Medical Group","Ramakrishna Velamati, MD"
"47",47,"AMITA Health St. Joseph Medical Center","333 Madison St Joliet IL 60435","333 Madison St","Joliet","IL","60435","II",NA,"Private Practice",NA
"48",48,"Ana Jaques Hospital","25 Highland Ave Newburyport MA 01950","25 Highland Ave","Newburyport","MA","01950","II",NA,"Employed Group","Marianne Anderson, MD"
"49",49,"Anaheim Regional Medical Center","1111 W La Palma Ave Anaheim CA 92801","1111 W La Palma Ave","Anaheim","CA","92801","III",11,NA,NA
"50",50,"Anderson Hospital","6800 State Route 162 Maryville IL 62062","6800 State Route 162","Maryville","IL","62062","II",NA,NA,NA
"51",51,"Anderson Regional Medical Center","2124 14th St Meridian MS 39301","2124 14th St","Meridian","MS","39301","III",10,"Private Practice","Roland Boyd, DO"
"52",52,"AnMed Health Women’s and Children’s Hospital","2000 E Greenville St Anderson SC 29621","2000 E Greenville St","Anderson","SC","29621","II",NA,NA,NA
"53",53,"Anne Arundel Medical Center","2001 Medical Pkwy, Annapolis MD 21401","2001 Medical Pkwy,","Annapolis","MD","21401","III",30,"Private Practice","Suzanne Rindfleisch, DO"
"54",54,"Antelope Valley Hospital Medical Center","1600 W Ave J Lancaster CA 93534","1600 W Ave J","Lancaster","CA","93534","III",21,NA,"Murugesa Thangavel, MD"
"55",55,"Arkansas Children’s Hospital","1 Children's Way Little Rock AR 72202","1 Children's Way","Little Rock","AR","72202","IV",104,"Academic Program","Ashley Ross, MD"
"56",56,"Arnot Ogden Medical Center","600 Roe Ave Elmira NY 14905","600 Roe Ave","Elmira","NY","14905","III",20,"Private Practice",NA
"57",57,"Arrowhead Regional Medical Center","400 N Pepper Ave Colton CA 92324","400 N Pepper Ave","Colton","CA","92324","III",30,NA,NA
"58",58,"Ascension All Saints Hospital","3801 Spring St. Racine WI 53405","3801 Spring St.","Racine","WI","53405","III",18,"Academic Program",NA
"59",59,"Ascension Borgess Hospital","1521 Gull Rd, Kalamazoo MI 49048","1521 Gull Rd,","Kalamazoo","MI","49048","II",8,NA,NA
"60",60,"Ascension Genesys Hospital","1 Genesys Pkwy Grand Blanc MI 48439","1 Genesys Pkwy","Grand Blanc","MI","48439","II",15,"Private Practice",NA
"61",61,"Ascension Providence","6901 Medical Pkwy Waco TX 76712","6901 Medical Pkwy","Waco","TX","76712","II",20,NA,NA
"62",62,"Ascension Providence Hospital Novi Campus","47601 Grand River Ave Novi MI 48374","47601 Grand River Ave","Novi","MI","48374","II",6,"Network Medical Group",NA
"63",63,"Ascension Providence Hospital Southfield Campus","16001 W Nine Mile Rd Southfield MI 48075","16001 W Nine Mile Rd","Southfield","MI","48075","III",15,"Network Medical Group",NA
"64",64,"Ascension Seton Hays","6001 Kyle Pkwy Kyle TX 78640","6001 Kyle Pkwy","Kyle","TX","78640","II",NA,"Private Practice",NA
"65",65,"Ascension Seton Northwest","11113 Research Blvd Austin TX 78759","11113 Research Blvd","Austin","TX","78759","II",NA,NA,NA
"66",66,"Ascension St. Elizabeth Hospital","1506 South Oneida St Appleton WI 54915","1506 South Oneida St","Appleton","WI","54915","III",15,"Employed Group",NA
"67",67,"Ascension St. John Hospital","22101 Moross Rd Detroit MI 48236","22101 Moross Rd","Detroit","MI","48236","III",32,"Hospital Employed","Ali Rabbani, MD"
"68",68,"Ascension St. Joseph Campus","5000 W Chambers St Milwaukee WI 53210","5000 W Chambers St","Milwaukee","WI","53210","III",52,"Employed Group",NA
"69",69,"Ascension Via Christi Manhattan","1823 College Ave Manhattan KS 66502","1823 College Ave","Manhattan","KS","66502","II",NA,"Employed Group",NA
"70",70,"Ascension Via Christi St. Joseph","3600 E Harry St Wichita KS 67218","3600 E Harry St","Wichita","KS","67218","III",28,"Employed Group",NA
"71",71,"Ashley Regional Medical Center","150 West 100 North Vernal UT 84078","150 West 100 North","Vernal","UT","84078","II",4,NA,NA
"72",72,"Aspirus – Wausau Hospital","333 Pine Ridge Boulevard Wausau WI 54401","333 Pine Ridge Boulevard","Wausau","WI","54401","III",14,"Network Medical Group","Haresh Modi, MD"
"73",73,"Atlanticare Regional Medical Center Mainland Campus","65 W Jimmie Leeds Road Pomona NJ 08240","65 W Jimmie Leeds Road","Pomona","NJ","08240","III",22,"Academic Program","Jennifer Tioseco, MD"
"74",74,"Atrium Health Pineville","10628 Park Rd Charlotte NC 28210","10628 Park Rd","Charlotte","NC","28210","II",10,"Hospital Employed",NA
"75",75,"Atrium Health Union","600 Hospital Dr Monroe NC 28112","600 Hospital Dr","Monroe","NC","28112","II",8,"Hospital Employed",NA
"76",76,"Atrium Health University City","8800 N Tryon St Charlotte NC 28262","8800 N Tryon St","Charlotte","NC","28262","III",9,"Hospital Employed",NA
"77",77,"Aultman Hospital","2600 6th St SW Canton OH 44710","2600 6th St SW","Canton","OH","44710","III",25,"Private Practice","Adeyemi Sobowale, MD"
"78",78,"Aurora Bay Medical Center","2845 Greenbrier Rd Green Bay WI 54311","2845 Greenbrier Rd","Green Bay","WI","54311","III",20,"Network Medical Group",NA
"79",79,"Aurora Medical Center Grafton","975 Port Washington Rd Grafton WI 53024","975 Port Washington Rd","Grafton","WI","53024","II",NA,"Network Medical Group",NA
"80",80,"Aurora Medical Center Kenosha","10400 75th St Kenosha WI 53142","10400 75th St","Kenosha","WI","53142","II",13,"Network Medical Group",NA
"81",81,"Aurora Medical Center Summit","36500 Aurora Dr Oconomowoc WI 53066","36500 Aurora Dr","Oconomowoc","WI","53066","II",NA,NA,NA
"82",82,"Aurora Sheboygan Memorial Medical Center","2629 N 7th St Sheboygan WI 53083","2629 N 7th St","Sheboygan","WI","53083","II",NA,"Network Medical Group",NA
"83",83,"Aurora Sinai Medical Center","945 N 12th St Milwaukee WI 53233","945 N 12th St","Milwaukee","WI","53233","III",36,"Network Medical Group",NA
"84",84,"Aurora West Allis Medical Center","8901 W Lincoln Ave West Allis WI 53227","8901 W Lincoln Ave","West Allis","WI","53227","III",20,"Network Medical Group",NA
"85",85,"Avera McKennan Hospital","1325 S Cliff Ave Sioux Falls SD 57105","1325 S Cliff Ave","Sioux Falls","SD","57105","III",42,"Employed Group","Katherine Wang, MD"
"86",86,"Avista Adventist Hospital","100 Health Park Drive Louisville CO 80027","100 Health Park Drive","Louisville","CO","80027","III",19,"Private Practice","Rossana Chang, MD"
"87",87,"Backus Hospital","326 Washington St Norwich CT 06360","326 Washington St","Norwich","CT","06360","II",NA,"Academic Program",NA
"88",88,"Bakersfield Memorial Hospital","420 34th St Bakersfield CA 93301","420 34th St","Bakersfield","CA","93301","II",31,NA,NA
"89",89,"Ball Memorial Hospital","2401 W University Ave Muncie IN 47303","2401 W University Ave","Muncie","IN","47303","III",21,"Academic Program",NA
"90",90,"Banner Casa Grande Medical Center","1800 E Florence Blvd Casa Grande AZ 85122","1800 E Florence Blvd","Casa Grande","AZ","85122","II",4,"Private Practice","Waseen Altaf, MD"
"91",91,"Banner Del E. Webb Medical Center","14502 W Meeker Blvd Sun City AZ 85375","14502 W Meeker Blvd","Sun City","AZ","85375","II",10,"Private Practice","Christina Carballo, MD"
"92",92,"Banner Desert Medical Center – Cardon Children’s","1400 S Dobson Rd Mesa AZ 85202","1400 S Dobson Rd","Mesa","AZ","85202","III",76,"Private Practice","Pete Stevenson, MD"
"93",93,"Banner Estrella Medical Center","9201 W Thomas Rd Phoenix AZ 85037","9201 W Thomas Rd","Phoenix","AZ","85037","II",20,"Private Practice","Christina Carballo, MD"
"94",94,"Banner Gateway Medical Center","1900 N Higley Way Gilbert AZ 85234","1900 N Higley Way","Gilbert","AZ","85234","II",8,"Private Practice","Waseen Altaf, MD"
"95",95,"Banner Ironwood Medical Center","37000 N Gantzel Rd San Tan Valley AZ 85140","37000 N Gantzel Rd","San Tan Valley","AZ","85140","II",6,"Private Practice","Waseen Altaf, MD"
"96",96,"Banner Thunderbird Medical Center","5555 W Thunderbird Rd Glendale AZ 85306","5555 W Thunderbird Rd","Glendale","AZ","85306","III",35,"Private Practice","Amit Agarwal, MD"
"97",97,"Banner University Medical Center – Phoenix","1111 E McDowell Rd Phoenix AZ 85006","1111 E McDowell Rd","Phoenix","AZ","85006","III",74,"Private Practice","Greg Martin, MD"
"98",98,"Banner University Medical Center – Tucson","1625 N Campbell Ave Tucson AZ 85719","1625 N Campbell Ave","Tucson","AZ","85719","III",36,"Academic Program","Mohamed Ahmed, MD"
"99",99,"Baptist Easley Hospital","200 Fleetwood Dr, Easley SC 29640","200 Fleetwood Dr,","Easley","SC","29640","II",4,NA,NA
"100",100,"Baptist Health Floyd","1850 State St New Albany IN 47150","1850 State St","New Albany","IN","47150","II",NA,"Academic Program",NA
"101",101,"Baptist Health Fort Smith","1001 Towson Ave Fort Smith AR 72901","1001 Towson Ave","Fort Smith","AR","72901","II",NA,NA,NA
"102",102,"Baptist Health Lexington","1740 Nicholasville Road Lexington KY 40503","1740 Nicholasville Road","Lexington","KY","40503","III",32,"Private Practice",NA
"103",103,"Baptist Health Louisville","4000 Kresge Way Louisville KY 40207","4000 Kresge Way","Louisville","KY","40207","II",8,"Academic Program","Dan Stewart, MD"
"104",104,"Baptist Health Madisonville","900 Hospital Drive Madisonville KY 42431","900 Hospital Drive","Madisonville","KY","42431","II",12,"Private Practice","Alex Soriano, MD"
"105",105,"Baptist Health Medical Center","9601 Baptist Health Dr Little Rock AR 72205","9601 Baptist Health Dr","Little Rock","AR","72205","III",65,"Private Practice","Terrance Zuerlein, MD"
"106",106,"Baptist Health Paducah","2501 Kentucky Avenue Paducah KY 42003","2501 Kentucky Avenue","Paducah","KY","42003","III",14,"Academic Program",NA
"107",107,"Baptist Health South Florida","8900 N Kendall Dr Miami FL 33176","8900 N Kendall Dr","Miami","FL","33176","III",36,"Private Practice","Andrew B. Kairalla, MD"
"108",108,"Baptist Hospitals of Southeast Texas","3080 College St Beaumont TX 77701","3080 College St","Beaumont","TX","77701","II",6,NA,NA
"109",109,"Baptist Medical Center","111 Dallas Street San Antonio TX 78205","111 Dallas Street","San Antonio","TX","78205","III",24,"Private Practice",NA
"110",110,"Baptist Medical Center – East","400 Taylor Rd Montgomery AL 36117","400 Taylor Rd","Montgomery","AL","36117","III",28,"Private Practice","Meyer Dworsky, MD"
"111",111,"Baptist Medical Center – South","2105 E South Blvd Montgomery AL 36116","2105 E South Blvd","Montgomery","AL","36116","III",40,"Private Practice","Meyer Dworsky, MD"
"112",112,"Baptist Medical Center Jacksonville","800 Prudential Dr Jacksonville FL 32207","800 Prudential Dr","Jacksonville","FL","32207","III",75,"Network Medical Group","Mary Lim, MD"
"113",113,"Baptist Medical Center South","14550 Old St Augustine Rd Jacksonville FL 32258","14550 Old St Augustine Rd","Jacksonville","FL","32258","II",14,"Academic Program",NA
"114",114,"Baptist Memorial Hospital for Women","6225 Humphreys Blvd Memphis TN 38120","6225 Humphreys Blvd","Memphis","TN","38120","III",40,"Private Practice","James (Chip) Hamlett, MD"
"115",115,"Baptist St. Anthony Hospital","1600 Wallace Boulevard Amarillo  TX 79106","1600 Wallace Boulevard","Amarillo ","TX","79106","III",20,"Private Practice",NA
"116",116,"Baton Rouge General","8585 Picardy Avenue Baton Rouge LA 70809","8585 Picardy Avenue","Baton Rouge","LA","70809","III",18,"Private Practice","Steven Spedale, MD"
"117",117,"Baxter Regional Medical Center","624 Hospital Dr Mountain Home AR 72653","624 Hospital Dr","Mountain Home","AR","72653","II",10,NA,NA
"118",118,"Bayfront Health Spring Hill","10461 Quality Dr Spring Hill FL 34609","10461 Quality Dr","Spring Hill","FL","34609","II",10,"Academic Program","Victor McKay, MD"
"119",119,"Bayfront Health St. Petersburg","701 6th St S St. Petersburg FL 33701","701 6th St S","St. Petersburg","FL","33701","III",NA,"Academic Program","Victor McKay, MD"
"120",120,"Bayhealth Hospital – Kent Campus","640 South State Street Dover DE 19901","640 South State Street","Dover","DE","19901","II",15,"Private Practice","Michael Antunes, MD"
"121",121,"Baylor All Saints Hospital","1400 8th Ave Fort Worth TX 76104","1400 8th Ave","Fort Worth","TX","76104","III",42,"Private Practice","Susan Sward-Communelli, MD"
"122",122,"Baylor Scott & White All Saints Medical Center – Fort Worth","1400 8th Ave Fort Worth TX 76104","1400 8th Ave","Fort Worth","TX","76104","III",63,"Private Practice",NA
"123",123,"Baylor Scott & White Medical Center – College Station","700 Scott and White Dr College Station TX 77845","700 Scott and White Dr","College Station","TX","77845","III",16,"Academic Program",NA
"124",124,"Baylor Scott & White Medical Center – Irving","1901 N MacArthur Blvd Irving TX 75061","1901 N MacArthur Blvd","Irving","TX","75061","II",18,"Private Practice",NA
"125",125,"Baylor Scott & White Medical Center – Lake Pointe","6800 Scenic Dr Rowlett TX 75088","6800 Scenic Dr","Rowlett","TX","75088","II",17,NA,NA
"126",126,"Baylor Scott & White Medical Center – Lakeway","100 Medical Pkwy Lakeway TX 78738","100 Medical Pkwy","Lakeway","TX","78738","II",11,NA,NA
"127",127,"Baylor Scott & White Medical Center Waco","100 Hillcrest Medical Blvd Waco TX 76712","100 Hillcrest Medical Blvd","Waco","TX","76712","III",30,NA,NA
"128",128,"Baylor Scott and White Medical Center Centennial","12505 Lebanon Rd Frisco TX 75035","12505 Lebanon Rd","Frisco","TX","75035","II",12,"Private Practice",NA
"129",129,"Baylor Scott and White Medical Center Frisco","5601 Warren Pkwy Frisco TX 75034","5601 Warren Pkwy","Frisco","TX","75034","II",NA,"Private Practice","Eduardo Perez, MD"
"130",130,"Baylor Scott and White Medical Center Grapevine","1650 W College St Grapevine TX 76051","1650 W College St","Grapevine","TX","76051","III",21,"Academic Program",NA
"131",131,"Baylor University Medical Center","3500 Gaston Ave Dallas TX 75246","3500 Gaston Ave","Dallas","TX","75246","III",83,"Private Practice",NA
"132",132,"Baystate Medical Center","759 Chestnut St Springfield MA 01199","759 Chestnut St","Springfield","MA","01199","III",55,"Hospital Employed","Rachana Singh, MD"
"133",133,"Beaufort Memorial Hospital","955 Ribaut Rd, Beaufort SC 29902","955 Ribaut Rd,","Beaufort","SC","29902","II",NA,NA,NA
"134",134,"Beaumont Hospital Dearborn","18101 Oakwood Blvd Dearborn MI 48124","18101 Oakwood Blvd","Dearborn","MI","48124","III",30,"Academic Program","Derek Bair, MD"
"135",135,"Beaumont Hospital Royal Oak","3601 W. Thirteen Mile Rd Royal Oak MI 48073","3601 W. Thirteen Mile Rd","Royal Oak","MI","48073","III",24,"Academic Program",NA
"136",136,"Beaumont Hospital Troy","44201 Dequindre Rd Troy MI 48085","44201 Dequindre Rd","Troy","MI","48085","II",24,"Academic Program",NA
"137",137,"Bellevue Hospital Center","462 1st Avenue New York NY 10016","462 1st Avenue","New York","NY","10016","III",25,"Academic Program","Elena Wachtel, MD"
"138",138,"Bellevue Medical Center","2500 Bellevue Medical Center Drive Bellevue NE 68123","2500 Bellevue Medical Center Drive","Bellevue","NE","68123","II",4,"Academic Program","Ann Anderson Berry, MD"
"139",139,"Bellin Hospital","744 S Webster Ave Green Bay WI 54301","744 S Webster Ave","Green Bay","WI","54301","II",NA,"Network Medical Group",NA
"140",140,"Ben Taub Hospital","1504 Ben Taub Loop Houston TX 77030","1504 Ben Taub Loop","Houston","TX","77030","III",20,"Academic Program","Joseph Garcia-Prats, MD"
"141",141,"Benefis Regional Medical Center","1101 26th St South Great Falls MT 59405","1101 26th St South","Great Falls","MT","59405","III",26,"Hospital Employed",NA
"142",142,"Bergan Mercy Medical Center","7500 Mercy Rd Omaha NE 68124","7500 Mercy Rd","Omaha","NE","68124","III",36,"Academic Program","Terence Zach, MD"
"143",143,"Berkley Medical Center","2500 Hospital Dr, Martinsburg WV 25401","2500 Hospital Dr,","Martinsburg","WV","25401","III",12,"Academic Program","Pete Yossuck, MD"
"144",144,"Beth Israel Deaconess Medical Center","330 Brookline Ave Boston MA 02215","330 Brookline Ave","Boston","MA","02215","III",48,"Employed Group","DeWayne Pursley, MD"
"145",145,"Beth Israel Deaconess Plymouth","275 Sandwich St Plymouth MA 02360","275 Sandwich St","Plymouth","MA","02360","II",6,"Academic Program","Barbara Shephard, MD"
"146",146,"Bethesda Hospital East","2815 S Seacrest Blvd Boynton Beach FL 33435","2815 S Seacrest Blvd","Boynton Beach","FL","33435","III",15,"Private Practice",NA
"147",147,"Bethesda North Hospital","10500 Montgomery Rd Cincinnati OH 45242","10500 Montgomery Rd","Cincinnati","OH","45242","II",12,"Academic Program","Scott Wexelblatt, MD"
"148",148,"Beverly Hospital","85 Herrick St Beverly MA 01915","85 Herrick St","Beverly","MA","01915","II",12,"Academic Program","Ivana Culic, MD"
"149",149,"Billings Clinic","801 N. 29th St Billings MT 59101","801 N. 29th St","Billings","MT","59101","III",19,"Hospital Employed","Fermin Blanco, MD"
"150",150,"Blank Children’s Hospital","1200 Pleasant St Des Moines IA 50309","1200 Pleasant St","Des Moines","IA","50309","III",44,"Employed Group","Samir Alabsi, MD"
"151",151,"Blessing Hospital","1005 Broadway St Quincy IL 62301","1005 Broadway St","Quincy","IL","62301","II",NA,NA,NA
"152",152,"Boca Raton Regional Hospital","800 Meadows Rd Boca Raton FL 33486","800 Meadows Rd","Boca Raton","FL","33486","II",NA,"Private Practice",NA
"153",153,"Boone Hospital Center","1600 E Broadway Columbia MO 65201","1600 E Broadway","Columbia","MO","65201","III",21,"Private Practice","Timothy O’Connor, MD"
"154",154,"Boston Children’s Hospital","300 Longwood Avenue Boston MA 02115","300 Longwood Avenue","Boston","MA","02115","III",24,"Academic Program","Anne Hansen, MD"
"155",155,"Boston Medical Center","1 Boston Medical Center Place Boston MA 02118","1 Boston Medical Center Place","Boston","MA","02118","III",15,"Academic Program","Vincent Smith, MD"
"156",156,"Boulder Community Hospital","4747 Arapahoe Ave. Boulder CO 80303","4747 Arapahoe Ave.","Boulder","CO","80303","II",18,"Academic Program","Adam Rosenberg, MD"
"157",157,"Bozeman Health Deaconess Hospital","915 Highland Blvd Bozeman MT 59715","915 Highland Blvd","Bozeman","MT","59715","II",4,"Employed Group","Dianne Warner, MD"
"158",158,"Brandon Regional Hospital","119 Oakfield Dr Brandon FL 33511","119 Oakfield Dr","Brandon","FL","33511","III",22,"Academic Program","Victor McKay, MD"
"159",159,"Brenner Children’s Hospital","Medical Center Blvd Winston-Salem NC 27157","Medical Center Blvd","Winston-Salem","NC","27157","IV",79,"Academic Program","Jennifer Helderman, MD"
"160",160,"Bridgeport Hospital","267 Grant St Bridgeport CT 06610","267 Grant St","Bridgeport","CT","06610","III",20,"Academic Program","Eliza Meyers, MD"
"161",161,"Brigham and Women’s Hospital","75 Francis St Boston MA 02115","75 Francis St","Boston","MA","02115","III",48,"Academic Program","Terri Gorman, MD"
"162",162,"Brigham City Community Hospital","950 Medical Drive Brigham City UT 84302","950 Medical Drive","Brigham City","UT","84302","II",10,NA,NA
"163",163,"Brockton Hospital","680 Centre St Brockton MA 02302","680 Centre St","Brockton","MA","02302","II",NA,"Academic Program","H. Ozlem Kasaroglu, MD"
"164",164,"Bronson Methodist Hospital","601 John St Kalamazoo MI 49007","601 John St","Kalamazoo","MI","49007","III",45,"Academic Program","Robin Pierucci, MD"
"165",165,"BronxCare Hospital Center","1650 Grand Concourse Bronx NY 10457","1650 Grand Concourse","Bronx","NY","10457","III",40,"Academic Program","Jing Ja Yoon, MD"
"166",166,"Brookdale Hospital Medical Center","1 Brookdale Plaza Brooklyn NY 11212","1 Brookdale Plaza","Brooklyn","NY","11212","III",30,"Academic Program","Roger Kim, MD"
"167",167,"Brooklyn Hospital Center","121 DeKalb Avenue Brooklyn NY 11201","121 DeKalb Avenue","Brooklyn","NY","11201","III",28,"Academic Program","Patrick Leblanc, MD"
"168",168,"Brookwood Baptist Medical Center","2010 Brookwood Medical Center Dr Birmingham AL 35209","2010 Brookwood Medical Center Dr","Birmingham","AL","35209","III",NA,"Private Practice",NA
"169",169,"Broward Health Coral Springs","3000 Coral Hills Dr Coral Springs FL 33065","3000 Coral Hills Dr","Coral Springs","FL","33065","II",10,"Private Practice","Arlene Boykin, MD"
