,hosp_num,hosp_name,full_address,addr,city_state_zip,nicu_beds,num_neonats,neonat_names,referral
23,23,FLAGSTAFF MEDICAL CENTER,"1200 N. Beaver St. Flagstaff, AZ 86001",1200 N. Beaver St.,"Flagstaff, AZ 86001",Level IIIA; NICU Beds: 18,Neonatologists: 1,Neonatologists names: Mahesh Kotwal,NA
24,24,BANNER THUNDERBIRD MEDICAL CENTER,"5555 W. Thunderbird Rd. Glendale, AZ 85306",5555 W. Thunderbird Rd.,"Glendale, AZ 85306",Level IIIB; NICU Beds: 35,Neonatologists:,NA,"Refer to Neonatologlsts Group of Phoenix Children<U+2019>s Hospital, Phoenix, AZ"
25,25,BANNER CHILDRENS HOSPITAL,"1400 S. Dobson Rd. Mesa, AZ 85202",1400 S. Dobson Rd.,"Mesa, AZ 85202",Level IIIB; NICU Beds: 65,Neonatologists: 7,Neonatologists names: Michelle Bez; Donna Hamburg; Catherine McDermott; Sarvesh Nigam; Glenn Waterkotte; Eva Wesolowski; James Zuzobrado,NA
26,26,BANNER ESTRELLA MEDICAL CENTER,"9201 W. Thomas Road Phoenix, AZ 85037",9201 W. Thomas Road,"Phoenix, AZ 85037",Level IIIA; NICU Beds: 13,Neonatologists: 1,Neonatologists names: Michael McQueen,NA
27,27,MARICOPA MEDICAL CENTER,"2601 E. Roosevelt St. Phoenix, AZ 85008",2601 E. Roosevelt St.,"Phoenix, AZ 85008",Level IIIB; NICU Beds: 40,Neonatologists: 3,Neonatologists names: Ravi Gunawardene; Mahesh Kotwal; Victor Zapanta,NA
28,28,MARYVALE SAMARITAN MEDICAL CENTER,"5102 W. Campbell Ave. Phoenix, AZ 85031",5102 W. Campbell Ave.,"Phoenix, AZ 85031",Level IIA; NICU Beds: 8,Neonatologists: 1,Neonatologists names: Christina Mogos,NA
29,29,PHOENIX CHILDREN'S HOSPITAL,"1111 E. Mc Dowell Rd., c/o ANC. I Phoenix, AZ 85008","1111 E. Mc Dowell Rd., c/o ANC. I","Phoenix, AZ 85008",Level IIIC; NICU Beds: 89,Neonatologists: 12,Neonatologists names: Matt Abrams; Mary Allare; Cristina Carballo; Guillermo Gutierrez; Gregory Martin; Pranav Patel; Suma Rao; Mark Shwer; Linda Slater-Meyer; Deborah Tom; Margaret Weng; Victor Zapanta,NA
30,30,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 W. Thomas Rd. Phoenix, AZ 85013",350 W. Thomas Rd.,"Phoenix, AZ 85013",Level IIIC; NICU Beds: 65,Neonatologists: 5,Neonatologists names: Robert Gutierrez; Lawrence Lilien; Cecelia Marcado; Christina Mogos; Jeanne Zenge,NA
31,31,SCOTTSDALE HEALTHCARE - OSBORN,"7400 E. Osborn Rd. Scottsdale, AZ 85251-6403",7400 E. Osborn Rd.,"Scottsdale, AZ 85251-6403",Level IIA; NICU Beds: 6,Neonatologists: 3,Neonatologists names: Matthew Abrams; Amardeep Ahluwalia; Peter Stevenson,NA
32,32,ARIZONA HEALTH SCIENCES CENTER DIAMOND CHILDREN'S MEDICAL CENTER,"1501 N. Campbell Ave. Tucson, AZ 85724-5073",1501 N. Campbell Ave.,"Tucson, AZ 85724-5073",Level IIIC; NICU Beds: 30,Neonatologists: 4,Neonatologists names: Mohammad Bader; Alan Bedrick; Ranjit Kylathu; Joseph Livingston,NA
33,33,CARONDELET ST. JOSEPH'S HOSPITAL,"350 N. Wilmont Rd. Tucson, AZ 85711",350 N. Wilmont Rd.,"Tucson, AZ 85711",Level IIIA; NICU Beds: 32,Neonatologists: 2,Neonatologists names: Dariush Mehrabani; Akhmad Saleem,NA
34,34,NORTHWEST MEDICAL CENTER,"6200 N. La Cholla Blvd. Tucson, AZ 85741",6200 N. La Cholla Blvd.,"Tucson, AZ 85741",Level IIB; NICU Beds: 10,Neonatologists: 4,Neonatologists names: Sally Ahmed; Alan Bedrick; Lynn Edde; Catherine Tsai,NA
35,35,TUCSON MEDICAL CENTER,"5301 E. Grant Rd. Tucson, AZ 85712",5301 E. Grant Rd.,"Tucson, AZ 85712",Level IIIB; NICU Beds: 42,Neonatologists: 5,Neonatologists names: Abraham Bressler; Carlos Flores; Caren Lipsky; Devyani Raval; Moira Richards,NA
36,36,YUMA REGIONAL MEDICAL CENTER,"2400 South Ave. A Yuma, AZ 85364",2400 South Ave. A,"Yuma, AZ 85364",Level IIIB; NICU Beds: 20,Neonatologists: 3,Neonatologists names: Nedal Machhor; Catherine Tsai; Gregory Warda,NA
37,37,ANAHEIM REGIONAL MEDICAL CENTER,"1111 W. La Palma, Ave. Anaheim, CA 92801","1111 W. La Palma, Ave.","Anaheim, CA 92801",Level IIIB; NICU Beds: 11,Neonatologists: 4,Neonatologists names: Gloria Morales; Sandy Shaw; Marlene Tan; David Tio,NA
38,38,KAISER PERMANENTE MEDICAL CENTER - ANAHEIM,"441 N. Lakeview Ave. Anaheim, CA 92807",441 N. Lakeview Ave.,"Anaheim, CA 92807",Level IIIB; NICU Beds: 14,Neonatologists: 7,Neonatologists names: Claudia Alleyne; Bisrat Gebrekristos; Cecilia Geralde; Steven Lu; Marielle Nguyen; Piyush Patel; Sandra Short-Bartlett,NA
39,39,ST. MARY DESERT VALLEY HOSPITAL,"18300 Highway 18 Apple Valley, CA 92307",18300 Highway 18,"Apple Valley, CA 92307",Level IIB; NICU Beds: 14,Neonatologists: 1,Neonatologists names: Steven Dodds,NA
40,40,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,"300 West Huntington Dr. Arcadia, CA 91066-9418",300 West Huntington Dr.,"Arcadia, CA 91066-9418",Level IIIA; NICU Beds: 17,Neonatologists:,NA,"Refer to Neonatologists Group of Huntington Memorial Hospital, Pasadena, CA"
41,41,BAKERSFIELD MEMORIAL HOSPITAL,"420 34th St. Bakersfield, CA 93301",420 34th St.,"Bakersfield, CA 93301",Level IIIB; NICU Beds: 31,Neonatologists: 6,Neonatologists names: Madhu Bhogal; Sze Ho; Mathilda Klupsteen; Gurvir Khurana; Nneamaka Mbagwu; Sudhir Patel,NA
42,42,KERN MEDICAL CENTER,"1830 Flower St. Bakersfield, CA 93305",1830 Flower St.,"Bakersfield, CA 93305",Level IIIA; NICU Beds: 28,Neonatologists: 2,Neonatologists names: Gurvir Khurana; Sudhir Patel,NA
43,43,KAISER PERMANENTE MEDICAL CENTER - BALDWIN PARK,"1011 Baldwin Park Blvd. Baldwin Park, CA 91706",1011 Baldwin Park Blvd.,"Baldwin Park, CA 91706",Level IIIB; NICU Beds: 20,Neonatologists: 2,Neonatologists names: Asif Ahmad; Maria Elena Mendoza,NA
44,44,ALTA BATES MEDICAL CENTER,"2450 Ashby Ave. Berkeley, CA 94705",2450 Ashby Ave.,"Berkeley, CA 94705",Level IIIA; NICU Beds: 59,Neonatologists:,NA,"Refer to Neonatologists Group of Children's Hospital Oakland, Oakland, CA"
45,45,PROVIDENCE ST. JOSEPH MEDICAL CENTER,"501 S. Buena Vista St. Burbank, CA 91505",501 S. Buena Vista St.,"Burbank, CA 91505",Level IIIB; NICU Beds: 20,Neonatologists: 6,Neonatologists names: Nahid Esani; Robert Gall; Jeffrey Hartleroad; Paul Hinkes; Karmen Parks; David Solarte,NA
46,46,MILLS-PENINSULA HEALTH CENTER,"1783 El Camino Real Burlingame, CA 94010",1783 El Camino Real,"Burlingame, CA 94010",Level IIB; NICU Beds: 5,Neonatologists:,NA,"Refer to Neonatologlsts Group of California Pacific Medical Center, San Francisco"
47,47,MERCY SAN JUAN MEDICAL CENTER,"6501 Coyte Ave. Carmichael, CA 95608",6501 Coyte Ave.,"Carmichael, CA 95608",Level IIIB; NICU Beds: 26,Neonatologists: 6,Neonatologists names: Gaurang Desai; Carolyn Getman; Robert Kahle; Bernard Kao; Rachel Maney; Diane Saeed,NA
48,48,SCRIPPS MERCY HOSPITAL-CHULA VISTA,"436 <U+201C>H"" St. Chula Vista, CA 91910","436 <U+201C>H"" St.","Chula Vista, CA 91910",Level IIA; NICU Beds: 10,Neonatolaglsts:,NA,"Refer to Neonatologists Group of Rady Children's Hospltal of San Diego, San Diago, CA"
49,49,SHARP CHULA VISTA MEDICAL CENTER,"751 Medical Center Course Chula Vista, CA 91911-6699",751 Medical Center Course,"Chula Vista, CA 91911-6699",Level IIA; NICU Beds: 12,Neonatologists:,NA,"Refer to Neonatologists Group of Sharp Mary Birch Hospital, San Diego, CA"
50,50,ARROWHEAD REGIONAL MEDICAL CENTER,"400 North Pepper Ave. Colton, CA 92324-1819",400 North Pepper Ave.,"Colton, CA 92324-1819",Level IIIB; NICU Beds: 30,Neonatologists: 3,Neonatologists names: V.G. Muraligopal; Lanny Nizar; Lizette Sistoza,NA
51,51,SETON MEDICAL CENTER,"1900 Sullivan Ave. Daly City, CA 94015",1900 Sullivan Ave.,"Daly City, CA 94015",Level IIA; NICU Beds: 3,Neonatologists:,NA,"Refer to Neonatologists Group of California Pacific Medical Center, San Francisco, CA"
52,52,KAISER PERMANENTE MEDICAL CENTER - DOWNEY,"9333 E. Imperial Highway Downey, CA 90242",9333 E. Imperial Highway,"Downey, CA 90242",Level IIIB; NICU Beds: 49,Neonatologists: 6,Neonatologists names: Afshan Abbasi; Glenn Ginoza; Mandhir Gupta; Ann Morris; Karmen Park; Suri Surainder,NA
53,53,PALOMAR MEDICAL CENTER,"555 E. Valley Parkway Escondido, CA 92025",555 E. Valley Parkway,"Escondido, CA 92025",Level IIIA; NICU Beds: 16,Neonatologists:,NA,"Refer to Neonatologists Group of Rady Children's Hospital of San Diego, San Diego, CA"
54,54,NORTHBAY MEDICAL CENTER,"1200 B. Gale Wilson Blvd. Fairfield, CA 94533",1200 B. Gale Wilson Blvd.,"Fairfield, CA 94533",Level IIIA; NICU Beds: 16,Neonatologists: 3,Neonatologists names: Richard Bell; Walter Berkheimer; Steven Gwiazdowski,NA
55,55,KAISER PERMANENTE MEDICAL CENTER - FONTANA,"9961 Sierra Ave. Fontana, CA 92335",9961 Sierra Ave.,"Fontana, CA 92335",Level IIIB; NICU Beds: 36,Neonatologists: 7,Neonatologists names: Dilip Bhatt; Rosa Chen; Jacek Gogolok; Bomae Kang; Virna Paje; Asha Parikh; Siva Reddy,NA
56,56,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,"17100 Euclid Fountain Valley, CA 92708",17100 Euclid,"Fountain Valley, CA 92708",Level IIIB; NICU Beds: 24,Neonatologists: 5,Neonatologists names: Jagdish Bhatt; Veeriah Chundu; Neda Machor; Soe Naing; Shahid Nazir,NA
57,57,ORANGE COAST MEMORIAL MEDICAL CENTER,"9920 Talbert Ave. Fountain Valley, CA 92728",9920 Talbert Ave.,"Fountain Valley, CA 92728",Level IIIA; NICU Beds: 12,Neonatologists:,NA,"Refer to Neonatologists Group of Long Beach Memorial Medical Center, Long Beach, CA."
58,58,PACKARD SPECIAL CARE NURSERY AT WASHINGTON HOSPITAL,"2000 Mowry Ave. Fremont, CA 94538",2000 Mowry Ave.,"Fremont, CA 94538",Level IIB; NICU Beds: 9,Neonatologists: 2,Neonatologists names: Oza Dushyant; Pramela Ramachandra,NA
59,59,COMMUNITY REGIONAL MEDICAL CENTER,"9923 Fresno St. Fresno, CA 93721",9923 Fresno St.,"Fresno, CA 93721",Level IIIA; NICU Beds: 84,Neonatologists: 3,Neonatologists names: Steven Elliot; Krish Rajani; Amar Siddique,NA
60,60,SAINT AGNES MEDICAL CENTER,"1303 E. Herndon Fresno, CA 93720",1303 E. Herndon,"Fresno, CA 93720",Leval IIA; NICU Beds: 5,Neonatologists:,NA,"Refer to Neonatologists Group of Valley Children's Hospital of Madera, Madera, CA"
61,61,ST. JUDE MEDICAL CENTER,"101 E. Valencia Mesa Dr. Fullerton, CA 92635",101 E. Valencia Mesa Dr.,"Fullerton, CA 92635",Level IIIB; NICU Beds: 14,Neonatologists:,NA,"Refer to Neonatologists Group of Children's Hospital of Orange County, Orange, CA"
62,62,AMI GARDEN GROVE HOSPITAL AND MEDICAL CENTER,"12601 Garden Grove Blvd. Garden Grove, CA 92643",12601 Garden Grove Blvd.,"Garden Grove, CA 92643",Level IIIB; NICU Beds: 12,Neonatologists:,NA,"Refer to Neonatotogists Group of Children's Hospital of Orange County, Orange, CA"
63,63,GLENDALE ADVENTIST MEDICAL CENTER,"1509 Wilson Terrace Glendale, CA 91206",1509 Wilson Terrace,"Glendale, CA 91206",Level IIIB; NICU Beds: 14,Neonatologists: 3,Neonatologists names: Mona Chung; Khin Swe Lay; John Mapp,NA
64,64,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,"1420 South Central Ave. Glendale, CA 91204-2594",1420 South Central Ave.,"Glendale, CA 91204-2594",Level IIIB; NICU Beds: 14,Neonatologists:,NA,"Refer to Naonatologists Group of Providence St. Joseph Medical Center Hospital of Burbank, Burbank, CA"
65,65,MARIN GENERAL HOSPITAL,"250 Bon Air Rd. Greenbrae, CA 94904",250 Bon Air Rd.,"Greenbrae, CA 94904",Level IIB; NICU Beds: 8,Neonatologists:,NA,"Refer to Neonatolagists Group of University of California San Francisco, San Francisco, CA"
66,66,KAISER PERMANENTE MEDICAL CENTER - SOUTH BAY,"25825 S. Vermont Harbor City, CA 90710",25825 S. Vermont,"Harbor City, CA 90710",Level IIA; NICU Beds: 10,Neonatologists: 3,Neonatologists names: Afshan Abbasi; Mandhir Gupta; Bruce Smith,NA
67,67,KAISER PERMANENTE MEDICAL CENTER - HAYWARD,"27400 Hesperian Blvd. Hayward, CA 94545",27400 Hesperian Blvd.,"Hayward, CA 94545",Level IIIB; NICU Beds: 19,Neonatologists: 5,Neonatologists names: Jocelyn Alcantara; Berenice Ku; Ashvin Sanoram; Francis Tambunting; Cynthia Wikler,NA
68,68,CENTINELA HOSPITAL MEDICAL CENTER,"555 E. Hardy St. Inglewood, CA 90307",555 E. Hardy St.,"Inglewood, CA 90307",Level IIIB; NICU Beds: 10,Neonatologists:,NA,"Refer to Neonatologists Group of Callfornia Medical Genter of Los Angeles Neonatologists Group, Los Angeles, CA"
69,69,KAISER PERMANENTE MEDICAL CENTER - IRVINE,"6640 Alton Parkway Irvine, CA 92618",6640 Alton Parkway,"Irvine, CA 92618",Level IIB; NICU Beds: 6,Neonatologists:,NA,"Refer to Neonatologists Group of Kaiser Permanente Medical Center, Anaheim, CA"
70,70,SCRIPPS MEMORIAL HOSPITAL,"988 Genesee Ave. La Jolla, CA 92037",988 Genesee Ave.,"La Jolla, CA 92037",Level IIIA; NICU Beds: 14,Neonatologists:,NA,"Refer to Neonatolagists Group of Rady Children's Hospital of San Diego, San Diego, CA"
71,71,SHARP GROSSMONT HOSPITAL,"5555 Grossmont Center Dr. La Mesa, CA 91942",5555 Grossmont Center Dr.,"La Mesa, CA 91942",Level IIIA; NICU Beds: 24,Neonatologists:,NA,"Refer to Neonatologists Group of Sharp Mary Birch Hospital, San Diego, CA"
72,72,SADDLEBACK MEMORIAL MEDICAL CENTER,"24451 Health Center Dr., Ste. 540 Laguna Hills, CA 926593","24451 Health Center Dr., Ste. 540","Laguna Hills, CA 926593",Level IIIB; NICU Beds: 19,Neonatologists: 5,Neonatologists names: Lily Chen; Armida Esparza; Ronald Naglie; Susan Sobczak-Hoeft; David Vogel,NA
73,73,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,"1600 W. Avenue ""J"" Lancaster, CA 93534","1600 W. Avenue ""J""","Lancaster, CA 93534",Level IIIB; NICU Beds: 21,Neonatologists: 2,Neonatologists names: Murugesa Thangavel; Larry Tinsley,NA
74,74,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,"11234 Anderson St. Loma Linda, CA 92354",11234 Anderson St.,"Loma Linda, CA 92354",Level IIIC; NICU Beds: 84,Neonatologists: 21,Neonatologists names: Douglas Deming; Maria Cristina Garberoglio; Mitchell Goldstein; Andrew Hopper; Kristen Hougland; Yomna Ibrahim; Munaf Kadri; Sunhwa Kim; Adrian Lavery; Gilbert Martin; Lily Martorell; T. Allen Merrit; Houchang Modanlou; Janet Ninnis; Ricardo Peverini; Raylene Phillips; Elba Simon-Fayard; Tabitha Soloman; Diana Trupp; Giang Truong; Linda Yang,NA
75,75,"MILLER CHILDREN'S HOSPITAL, LONG BEACH","2801 Atlantic Ave. Long Beach, CA 90801-1428",2801 Atlantic Ave.,"Long Beach, CA 90801-1428",Level IIIC; NICU Beds: 93,Neonatologists: 10,Neonatologists names: Maria Abrantes; Steven Cho; Leonel Guajardo; Jamal Hasan; Josefina Jacinto; David Kim; Guadalupe Padilla-Robb; Jose Perez; Arthur Strauss; Arwin Valencia,NA
76,76,ST. MARY MEDICAL CENTER,"1050 Linden Ave. Long Beach, CA 90801",1050 Linden Ave.,"Long Beach, CA 90801",Level IIIB; NICU Beds: 25,Neonatologists:,NA,"Refer to Neonatologists Group of Long Beach Memorial Medical Center Neonatologists, Long Beach, CA"
77,77,CALIFORNIA MEDICAL CENTER,"1401 S. Grand Ave. Los Angeles, CA 90015",1401 S. Grand Ave.,"Los Angeles, CA 90015",Level IIIB; NICU Beds: 26,Neonatologists: 5,Neonatologists names: Scott Beasley; Nalini Brahmbhatt; Michelle Henry; Keith Kolber; Cecilia Lev,NA
78,78,CEDARS-SINAI MEDICAL CENTER,"8700 Beverly, Suite 4226 Los Angeles, CA 90048","8700 Beverly, Suite 4226","Los Angeles, CA 90048",Level IIIC; NICU Beds: 45,Neonatologists: 6,Neonatologists names: William Binder; Heather Cahan; Kurlen Payton; Asha Puri; Sabitha Sehgal; Charles Simmons,NA
79,79,CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,"1300 N. Vermont Ave. Los Angeles, CA 90027",1300 N. Vermont Ave.,"Los Angeles, CA 90027",Level IIIB; NICU Beds: 15,Neonatologists:,NA,"Refer to Neonatologists Group of LAG & USC Medical Center, Los Angeles, CA"
80,80,CHILDRENS HOSPITAL LOS ANGELES,"4650 Sunset Blvd. Los Angeles, CA 90027",4650 Sunset Blvd.,"Los Angeles, CA 90027",Level IIIC; NICU Beds: 36,Neonatologists:,NA,"Refer to Neonatologists Group of LAC & USC Medical Center, Los Angeles, CA"
81,81,GOOD SAMARITAN HOSPITAL,"1225 Wilshire Blvd. Los Angeles, CA 90017",1225 Wilshire Blvd.,"Los Angeles, CA 90017",Level IIIB; NICU Beds: 23,Neonatologists:,NA,"Refer to Neonatologists Group of LAC + USC Medical Center Women<U+2019>s, Los Angeles, CA"
82,82,KAISER PERMANENTE MEDICAL CENTER - LOS ANGELES,"4867 Sunset Blvd. Los Angeles, CA 90027",4867 Sunset Blvd.,"Los Angeles, CA 90027",Level IIIB; NICU Beds: 28,Neonatologists: 6,Neonatologists names: Sukirtha Alagarsamy; Ralph Franceschini; Saul Newman; Rosa Sanchez; Bikramjit Sangha; Bonnie Tam,NA
83,83,KAISER PERMANENTE MEDICAL CENTER - WEST L.A.,"6041 Cadillac Ave. Los Angeles, CA 90034",6041 Cadillac Ave.,"Los Angeles, CA 90034",Level IIIA; NICU Beds: 9,Neonatologists: 2,Neonatologists names: Cleotilde Bondad; John D'Ambola,NA
84,84,LAC + USC MEDICAL CENTER,"2020 Zonal Ave. Los Angeles, CA 90033",2020 Zonal Ave.,"Los Angeles, CA 90033",Level IIIB; NICU Beds: 39,Neonatologists: 21,Neonatologists names: Lorayne Barton; Manoj Biniwale; Rowena Cayabyab; Valariat Dhamcharee; Manuel Durand; Philipp Friedlich; Arlene Garingo; Paige Jackson; Lisa Kelly; Bui Kim; Clair Mc Lean; Victoria Niklas; Shahab Noori; Lisa Paquette; Shilpa Patil; Elisabeth Raab; Rangsamy Ramanathan; Smeeta Sardesai; Istvan Seri; Theodora Stavroudis; Linda Tesoriero,NA
85,85,MATTEL CHILDREN'S HOSPITAL AT UCLA,"10833 Le Conte Ave., B2-375 MDCC Los Angeles, CA 90095-1752","10833 Le Conte Ave., B2-375 MDCC","Los Angeles, CA 90095-1752",Level IIIC; NICU Beds: 24,Neonatologists: 12,Neonatologists names: Mariane Anderson; Cynthia Barrett; Kara Calkins; Sherin Devaskar; Uday Devaskar; Josephine Enciso; Meena Garg; Vedang Londhe; Michael Mah; Vladana Milisavljevic; Jeffrey Smith; Valencia Walker,NA
86,86,WHITE MEMORIAL MEDICAL CENTER,"1720 Cesar Chavez Blvd. Los Angeles, CA 90033",1720 Cesar Chavez Blvd.,"Los Angeles, CA 90033",Level IIIB; NICU Beds: 28,Neonatologists: 3,Neonatologists names: Viet Hoang; Soha Idriss; Robert Tefft,NA
