"","hosp_num","hosp_name","full_address","addr","city","state","zip","nicu_beds","num_neonats","neonat_names","referral"
"34",34,"MARTIN LUTHER HOSPITAL ","1830 W. Romneya Dr. Anaheim  CA  92803","1830 W. Romneya Dr.","Anaheim"," CA ","92803","NICU Beds: 22","Neonatologists:8","Neonatologists names: Leonard Fox; Mamerto Garcia; Gloria Morales; Sandra Shaw; Marlene Tan; Jeffery Teal; David Tio; Patrick Walsh",NA
"35",35,"ST. MARY DESERT VALLEY HOSPITAL","18300 Highway 18 Apple Valley  CA  92307","18300 Highway 18","Apple Valley"," CA ","92307","NICU Beds:8","Neonatologists:1","Neonatologists names: Katherine Schooley",NA
"36",36,"BAKERSFIELD MEMORIAL HOSPITAL ","420 34th St. Bakersfield  CA  93301","420 34th St.","Bakersfield"," CA ","93301","NICU Beds:12","Neonatologiste:3","Neonatologists names: Madhu Bhogal; Sze Ho; Matilda Klupsteen",NA
"37",37,"KERN MEDICAL CENTER ","1830 Flower St. Bakersfield  CA  93305","1830 Flower St.","Bakersfield"," CA ","93305","NICU Beds:28","Neonatologists:2","Neonatologists names: Mohamad Harb; Tien Khuu",NA
"38",38,"KAISER PERMANENTE MEDICAL CENTER - BELLFLOWER","9400 E. Rosecrans Ave. Bellflower  CA  90706","9400 E. Rosecrans Ave.","Bellflower"," CA ","90706","NICU Beds:38","Neonatologists:2","Neonatologists names: Kum Kum Bhasin; Ann Marie Morris",NA
"39",39,"ALTA BATES MEDICAL CENTER","2450 Ashby Ave.  Berkeley  CA  94705","2450 Ashby Ave. ","Berkeley"," CA ","94705","NICU Beds:40","Neonatologists:2","Neonatologists names: Gilbert Duritz; Amarjit Sandhu",NA
"40",40,"ST. JOSEPH MEDICAL CENTER","501 S. Buena Vista St. Burbank  CA  91505","501 S. Buena Vista St.","Burbank"," CA ","91505","NICU Beds:20","Neonatologists:3","Neonatologists names: Charles Gall; Paul Hinkes; Miriam Mylius",NA
"41",41,"MERCY SAN JUAN HOSPITAL ","6501 Coyle Ave. Carmichael  CA  95608","6501 Coyle Ave.","Carmichael"," CA ","95608","NICU Bads:18","Naonatologists:5","Neonatologists names: Sarah Buxton; Carolyn Getman; Robert Kahle; Diane Saeed; Gustavo Sosa",NA
"42",42,"SCRIPPS MEMORIAL HOSPITAL CHULA VISTA","435 H St. Chula Vista  CA  91910","435 H St.","Chula Vista"," CA ","91910","NICU Beds:10","Neonatologists:",NA,"Refer to Children's Hospital of San Diego"
"43",43,"INTER-COMMUNITY MEDICAL CENTER","210 W. San Bernardino Rd. Covina  CA  91723","210 W. San Bernardino Rd.","Covina"," CA ","91723","NICU Beds:8","Neonatologists:4","Neonatologists names: Chundu Veeraiah; Gilbert Martin; Jeffery Martin; Bruce Sindel",NA
"44",44,"EL CENTRO REGIONAL MEDICAL CENTER","1415 Ross Ave. El Centro  CA  92443","1415 Ross Ave.","El Centro"," CA ","92443","NICU Beds:4","Neonatologists:3","Neonatologists names: Mohamad Admani; Vallop Kanjanapone; Oscar Ortiz",NA
"45",45,"PALOMAR MEDICAL CENTER","555 E. Valley Pky. Escondido  CA  92025","555 E. Valley Pky.","Escondido"," CA ","92025","NICU Beds:6","Neonatologists:",NA,"Refer to Children's Hospital of San Diego"
"46",46,"NORTHBAY MEDICAL CENTER ","1200 B. Gale Wilson Blvd. Fairfied  CA  94533","1200 B. Gale Wilson Blvd.","Fairfied"," CA ","94533","NICU Beds:16","Neonatologists:2","Neonatologists names: Richard Bell; Steven Gwiazdowski",NA
"47",47,"KAISER PERMANENTE MEDICAL CENTER - FONTANA","9961 Sierra Ave. Fontana  CA  92335","9961 Sierra Ave.","Fontana"," CA ","92335","NICU Beds:36","Neonatologists:4","Neonatologists names: Dilip Bhatt; Jacek Gogolok; Robert Meyer; Asha Parikh",NA
"48",48,"FHP HOSPITAL ","9920 Talbert Ave.  Fountain Valley  CA  92728","9920 Talbert Ave. ","Fountain Valley"," CA ","92728","NICU Beds:12","Neonatologists:2","Neonatologists names: Jagdish Bhatt; Glen Ginoza",NA
"49",49,"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","17100 Euclid Fountain Valley  CA  92708","17100 Euclid","Fountain Valley"," CA ","92708","NICU Beds:14","Neonatologists: 6","Neonatologists names: Michael Barsotti; Cindy Chen; Armida Esparza; Leonel Guajardo; Ronald Naglie ",NA
"50",50,"FRESNO COMMUNITY HOSPITAL & MEDICAL CENTER","2776 W. Wrenwood Ave. Fresno  CA  93711","2776 W. Wrenwood Ave.","Fresno"," CA ","93711","NICU Beds: 10","Neonatologists:",NA,"Refer to Valley Children's Hospital"
"51",51,"SAINT AGNES MEDICAL CENTER","1303 E. Herndon Fresno  CA  93720","1303 E. Herndon","Fresno"," CA ","93720","NICU Beds:5","Neonatologists:",NA,"Refer to Valley Children’s Hospital"
"52",52,"VALLEY CHILDREN'S HOSPITAL ","3151 N. Millbrook Fresno  CA  93703","3151 N. Millbrook","Fresno"," CA ","93703","NICU Beds:41","Neonatologists:4","Neonatologists names: Vinod Bansal; devindra Chopra; Krishnakumar; Nadarasa Vishveshwara",NA
"53",53,"VALLEY MEDICAL CENTER OF FRESNO","445 S. Cedar Ave. Fresno  CA  93702","445 S. Cedar Ave.","Fresno"," CA ","93702","NICU Beds:12","Neonatologists:",NA,"Refer to Valley Children's Hospital"
"54",54,"ST. JUDE MEDICAL CENTER ","101 E. Valencia Mesa Dr. Fullerton  CA  92635","101 E. Valencia Mesa Dr.","Fullerton"," CA ","92635","NICU Beds:6","Neonatologists:6","Neonatologists names: Joseph Awadalla; Christie Davanzo; John Madden; Richard Meidell; Pankaj Mistry; Nagla Ramadan",NA
"55",55,"AMI GARDEN GROVE HOSPITAL AND MEDICAL CENTER","12601 Garden Grove Blvd. Garden Grove  CA  92643","12601 Garden Grove Blvd.","Garden Grove"," CA ","92643","NICU Beds:12","Neonatologists:",NA,"Refer to Children's Hospital of Orange County"
"56",56,"GLENDALE ADVENTIST MEDICAL CENTER","1509 Wilson Terrace Glendale  CA  91206","1509 Wilson Terrace","Glendale"," CA ","91206","NICU Beds:8","Neonatologists:3","Neonatologists names: Mona Chung; Khin Swe Lay; John Mapp",NA
"57",57,"MARIN GENERAL HOSPITAL","250 Bon Alr Rd. Greenbrae  CA  94904","250 Bon Alr Rd.","Greenbrae"," CA ","94904","NICU Beds:8","Neonatologists:",NA,"Refer to California Pacific Medical Center, San Francisco"
"58",58,"KAISER PERMANENTE MEDICAL CENTER - HARBOR CITY","26526 S. Vermont Harbor City  CA  90710","26526 S. Vermont","Harbor City"," CA ","90710","NICU Beds:3","Neonatologists:1","Neonatologists names: Bruce Smith",NA
"59",59,"KAISER PERMANENTE MEDICAL CENTER - HAYWARD","27400 Hesperian Blvd. Hayward  CA  94545","27400 Hesperian Blvd.","Hayward"," CA ","94545","NICU Beds:15","Neonatologists:4","Neonatologists names: Jocelyn Alcantara; Berenic Ku; Margaret Walker; Cynthia Wikler",NA
"60",60,"CENTINELA HOSPITAL MEDICAL CENTER","555 E. Hardy St. Inglewood  CA  90307","555 E. Hardy St.","Inglewood"," CA ","90307","NICU Beds: 10","Neonatologists:2","Neonatologists names: Nalini Brahmbhatt; Bertran Cooper",NA
"61",61,"DANIEL FREEMAN MEMORIAL HOSPITAL","333 N. Prarie Ave. Inglewood  CA  90301","333 N. Prarie Ave.","Inglewood"," CA ","90301","NICU Beds:8","Neonatologists:2","Neonatologists names: Scott Beasley; Ronald Tyrus",NA
"62",62,"IRVINE MEDICAL CENTER ","16200 Sand Canyon Ave. Irvine  CA  92718","16200 Sand Canyon Ave.","Irvine"," CA ","92718","NICU Beds: 16","Neonatologiets:2","Neonatologists names: David Hicks; Pankaj Mistry","Refer to Children’s Hospital of Orange County"
"63",63,"GROSSMONT HOSPITAL","5555 Grossmont Center Dr. La Mesa  CA  91942","5555 Grossmont Center Dr.","La Mesa"," CA ","91942","NICU Beds:24","Neonatologists:1","Neonatologists names: Paul Zlotnik",NA
"64",64,"SADDLEBACK MEMORIAL MEDICAL CENTER","24451 Health Center Dr. Laguna Hills  CA  92653","24451 Health Center Dr.","Laguna Hills"," CA ","92653","NICU Beds:19","Neonatologists: 5 ","Neonatologists names: Mike Barsotti; Armida Esparza; Leonel Guajardo; Ronald Naglie; Mita Shah",NA
"65",65,"ANTELOPE VALLEY HOSPITAL MEDICAL CENTER","1600 W. Avenue J Lancaster  CA  93534","1600 W. Avenue J","Lancaster"," CA ","93534","NICU Beds:27","Neonatologists:2","Neonatologists names: Murali Kumar; Murugesa Thangavel ",NA
"66",66,"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL","11262 Campus St., WH135 Loma Linda  CA  92354","11262 Campus St., WH135","Loma Linda"," CA ","92354","NICU Beds:72","Neonatologists:11","Neonatologists names: Assaad Assaad; Douglas Deming; Elba Fayard; Christina Garberoglio; Andrew Hopper; Lella Job; Lanny Nizar; Gerald Nystrom; Ricardo Peverini; Diana Trupp; Nidia Vyhmeister",NA
"67",67,"LONG BEACH COMMUNITY HOSPITAL","1720 Termino Ave. Long Beach  CA  90804","1720 Termino Ave.","Long Beach"," CA ","90804","NICU Beds:20","Neonatologists:8","Neonatologists names: Mamerto Garcia; Gloria Morales; Sandra Shaw; Marlene Tan; Jeffery Teal; David Tio; Cong Vo; Patrick Walsh",NA
"68",68,"LONG BEACH MEMORIAL MEDICAL CENTER","2801 Atlanta Ave. Long Beach  CA  90801","2801 Atlanta Ave.","Long Beach"," CA ","90801","NICU Beds:70","Neonatologists:5","Neonatologists names: Douglas Cunningham; Josefina Jacinto; Guadalupe Padilla-Robb; Jose Perez; Arthur Strauss",NA
"69",69,"ST. MARY MEDICAL CENTER","1050 Linden Ave. Long Beach  CA  90913","1050 Linden Ave.","Long Beach"," CA ","90913","NICU Beds:25","Neonatologists:5","Neonatologists names: Rhaghavender Bhupala; Hong Mai; Azra Nisar; Roger Takla; Chung Tsi",NA
"70",70,"CALIFORNIA MEDICAL CENTER ","1401 S. Grand Ave. Los Angeles  CA  90015","1401 S. Grand Ave.","Los Angeles"," CA ","90015","NICU Beds:26","Neonatologists:4","Neonatologists names: Hernan Cruz; Robert De Lemod; Maria Pernia; Evelyn Tintoc",NA
"71",71,"CEDARS-SINAI MEDICAL CENTER ","8700 Beverly, #4310 Los Angeles  CA  90048","8700 Beverly, #4310","Los Angeles"," CA ","90048","NICU Beds:32","Neonatologists:7","Neonatologists names: Arie Leon Alkalay; Soledad Austin; Raymond Duncan; Jeffery Pomerance; Asha Puri; Sabitha Sehgal; Andre Vanderhal",NA
"72",72,"CHILDREN'S HOSPITAL OF LOS ANGELES","4650 Sunset Blvd., Box 83 Los Angeles  CA  90027","4650 Sunset Blvd., Box 83","Los Angeles"," CA ","90027","NICU Beds:37","Neonatologists:4","Neonatologists names: Thomas Keens; Cheryl Lew; Arnold Platzker; Nirupama Subraminian",NA
"73",73,"HOSPITAL OF THE GOOD SAMARITAN","616 S. Witmer St. Los Angeles  CA  90017","616 S. Witmer St.","Los Angeles"," CA ","90017","NICU Beds:18","Neonatologists:4","Neonatologists names: Robert De Lemos; Ramanathan Rangasamy; Smeeta Sardesai; Bijan Siassi",NA
"74",74,"KAISER PERMANENTE MEDICAL CENTER - LOS ANGELES","4867 Sunset Blyd. Los Angeles  CA  90027","4867 Sunset Blyd.","Los Angeles"," CA ","90027","NICU Beds:40","Neonatologists:6","Neonatologists names: Ralph Franceshini; Saul Newman; Patrick Robbie; Rosa Sanchez; Bikramjit Sangha; David Wirtschafter",NA
"75",75,"KAISER PERMANENTE MEDICAL CENTER - WEST L.A.","6041 Cadillac Ave. Los Angeles  CA  90034","6041 Cadillac Ave.","Los Angeles"," CA ","90034","NICU Beds:9","Neonalologists:3","Neonatologists names: Cleotilde Bondad; John D'Ambola; Mayenne Karelitz",NA
"76",76,"LAC + USC MEDICAL CENTER WOMEN'S & CHILDREN'S HOSPITAL","4240 N. Mission, Rm. L919 Los Angeles  CA  90033","4240 N. Mission, Rm. L919","Los Angeles"," CA ","90033","NICU Beds:50","Neonatologisis:14","Neonatologists names: Ruben Acherman; Asif Ahmed; Lorayne Barton; Robert De Lemos; Manuel Durand; Nancy Edwards; Alice garner; Joan Hodgman; Ivette Pena; Ramanathan rangasamy; Smeeta Siassi; Y.K. Paul Wu",NA
"77",77,"LAG-KING-DREW MEDICAL CENTER ","12021 S. Wilmington Ave. Los Angeles  CA  90059","12021 S. Wilmington Ave.","Los Angeles"," CA ","90059","NICU Beds:42","Neonatologists:5","Neonatologists names: Xylina Bean; Isaac Belai; Richard Findlay; Meena Garg; Frans Walther",NA
"78",78,"UCLA MEDICAL CENTER ","10833 Le Conte Ave. Los Angeles  CA  90095","10833 Le Conte Ave.","Los Angeles"," CA ","90095","NICU Beds:24","Neonatologists:5","Neonatologists names: Cynthia Barrett; Susan Gray; Paul Pollack; Maureen Sims; Jeffery Smith",NA
"79",79,"WHITE MEMORIAL MEDICAL CENTER ","1720 Cesar Chavez Blvd. Los Angeles  CA  90033","1720 Cesar Chavez Blvd.","Los Angeles"," CA ","90033","NICU Beds:30","Neonatologists:3","Neonatologists names: Guillermo Loew; esperanza Naves-Ruiz; Robert Tefft",NA
"80",80,"ST. FRANCIS MEDICAL CENTER ","3630 E. Imperial Hwy Lynwood  CA  90262","3630 E. Imperial Hwy","Lynwood"," CA ","90262","NICU Beds:20","Neonatologists:2","Neonatologists names: Amod Moosa; David Vogel",NA
"81",81,"CHILDREN'S HOSPITAL AT MISSION ","27700 Medical Center Dr. Mission Viejo  CA  92691","27700 Medical Center Dr.","Mission Viejo"," CA ","92691","NICU Beds:16","Neonatologists:3","Neonatologists names: Willard Blankenship; Stephen Hanten; Chetan Patel",NA
"82",82,"DOCTORS MEDICAL CENTER ","1441 Florida Ave. Modesto  CA  95350","1441 Florida Ave.","Modesto"," CA ","95350","NICU Beds:30","Neonatologists:2","Neonatologists names: David Klain; Frederich Murphy ",NA
"83",83,"BEVERLY HOSPITAL ","309 W. Beverly Blvd. Montebello  CA  90640","309 W. Beverly Blvd.","Montebello"," CA ","90640","NICU Beds:4","Neonatologists:2","Neonatologists names: Ken Chon; Savitri Rambhatla",NA
"84",84,"GARFIELD MEDICAL CENTER","525 N. Garfield Ave. Monterey Park  CA  91754","525 N. Garfield Ave.","Monterey Park"," CA ","91754","NICU Beds: 14","Neonatologists:4","Neonatologists names: Lorraine Jones; Van Lilly; Mary Lim; Harjinder Singh",NA
"85",85,"EL CAMINO HOSPITAL","2500 Grant Rd. Mountain View  CA  94040","2500 Grant Rd.","Mountain View"," CA ","94040","NICU Beds:See Lucile Salter Packard Children's Hospital","Neonatologists:",NA,"Refer to Lucile Salter Packard Children's Hospital"
"86",86,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","301 Newport Blvd. Newport Beach  CA  92663","301 Newport Blvd.","Newport Beach"," CA ","92663","NICU Beds:12","Neonatologists:2","Neonatologists names: Bernard Hannam; Lawrence Wickham",NA
"87",87,"NORTHRIDGE HOSPITAL MEDICAL CENTER","18300 Roscoe Blvd. Northridge  CA  91328","18300 Roscoe Blvd.","Northridge"," CA ","91328","NICU Beds:22","Neonatologists:3","Neonatologists names: Saba Gaffar; Theodore Glatz; Berry Halpern ",NA
"88",88,"CHILDREN'S HOSPITAL OAKLAND ","747 - 52nd St. Oakland  CA  94609","747 - 52nd St.","Oakland"," CA ","94609","NICU Beds:47","Neonatologists:22","Neonatologists names: Linda Burden; Arthur D'Harlingue; David Durand; Gibert Duritz; Alex Espinoza; Thomas Eusterbrock; Lawrence Franklin; James Harrod; Harold Helbock; Priscilla Joe; Lily Kao; Florence Kuyt; Victor Lvoff; William Murphy; Barry Phillips; Richard Powers; Amarjit Sandhu; Charles Scott; Jamie Tannebaum; Anna Usowicz; Carlene Wong; Hui-Hsin Wu",NA
"89",89,"HIGHLAND GENERAL HOSPITAL","1411 E. 31st St. Oakland  CA  94602","1411 E. 31st St.","Oakland"," CA ","94602","NICU Bads:8","Neonatologists:1","Neonatologists names: Richard Fulroth",NA
"90",90,"KAISER PERMANENTE MEDICAL CENTER - OAKLAND","280 W. Mac Arthur Blvd. Oakland  CA  94611","280 W. Mac Arthur Blvd.","Oakland"," CA ","94611","NICU Beds:29","Neonatologists:3","Neonatologists names: Carl Gilden; MichaelJennis; Frederick Shum",NA
"91",91,"SUMMIT MEDICAL CENTER ","350 Hawthorne Ave. Oakland  CA  94609","350 Hawthorne Ave.","Oakland"," CA ","94609","NICU Beds:20 ","Neonatologists:1","Neonatologists names: Victor Lvoff",NA
"92",92,"TRI-CITY MEDICAL CENTER ","4002 Vista Way Oceanside  CA  92056","4002 Vista Way","Oceanside"," CA ","92056","NICU Beds:20","Neonatologists:3","Neonatologists names: Gerard Brown; Philip Marinelli; Catherine Poon",NA
"93",93,"CHILDREN'S HOSPITAL OF ORANGE COUNTY","455 S. Main St. Orange  CA  92668","455 S. Main St.","Orange"," CA ","92668","NICU Beds:32","Neonatologists:8","Neonatologists names: Ragnar Amlie; John Clearly; Vijay Dhar; Stephen Hanten; Robert Hillyard; Sandra Short-Bartlett; Sudeep Singh; Carrie Worcester",NA
"94",94,"ST. JOSEPH HOSPITAL","1100 W. Stewart Dr. Orange  CA  92668","1100 W. Stewart Dr.","Orange"," CA ","92668","NICU Beds:15","Neonatologists:",NA,"Refer to Children's Hospital of Orange County"
"95",95,"UC IRVINE MEDICAL CENTER ","101 The City Drive Orange  CA  92668","101 The City Drive","Orange"," CA ","92668","NICU Bads:36","Neonatologists:7","Neonatologists names: Louis Gluck; Mikko Hallman; Houchang Modanlou; Joyce Peabody; Jack Sills; Feizal Waffarn; Linda Yang",NA
"96",96,"ST. JOHN'S REGIONAL MEDICAL CENTER","1600 N. Rose Ave. Oxnard  CA  93030","1600 N. Rose Ave.","Oxnard"," CA ","93030","NICU Bads:8","Neonatologists:4","Neonatologists names: Anthony Dajnowicz; David Kasting; Michael Mah; Karen Woo",NA
"97",97,"DESERT HOSPITAL ","1150 N. Indian Canyon Dr. Palm Springs  CA  92262","1150 N. Indian Canyon Dr.","Palm Springs"," CA ","92262","NICU Bads:30","Neonatologists:3","Neonatologists names: Juanito Novales; William Phaklides; Sanna Salva",NA
"98",98,"LUCILE SALTER PACKARD CHIDREN'S HOSPITAL","725 Welch Rd. Palo Alto  CA  94304","725 Welch Rd.","Palo Alto"," CA ","94304","NICU Beds:89","neonatoloaists: 13","Neonatologists names: Ronald Ariagno; David Benaron; William Benitz; Phyllis Dennery; Barry Fleisher; Louis Halamek; Ashima Madan; Alistair Phillip; Pramela Ramchandran; William Rhine; David Stevenson; Philip Sunshine; Krisa Van Meurs",NA
